package,owner,category,sub_category
SGP4,crbinz,Space Science,Astro Libraries
SkyCoords,JuliaAstro,Space Science,Astro Libraries
WCS,JuliaAstro,Space Science,Astro Libraries
WCSLIB,nolta,Space Science,Astro Libraries
AstroLib,JuliaAstro,Space Science,
Cosmology,JuliaAstro,Space Science,
DustExtinction,JuliaAstro,Space Science,
ERFA,JuliaAstro,Space Science,
WCS,JuliaAstro,Space Science,
FITSIO,JuliaAstro,Space Science,Astronomical Imaging
AstroImages,JuliaAstro,Space Science,Astronomical Imaging
Reproject,JuliaAstro,Space Science,Astronomical Imaging
Airship,ordovician,Space Science,Space
SpaceShuttle,mbauman,Space Science,Space
SPICE,JuliaAstro,Space Science,Space
TaylorIntegration,PerezHz,Space Science,Space
Benchmark,johnmyleswhite,Super Computing,Benchmarks
BenchmarkLite,lindahua,Super Computing,Benchmarks
ConicBenchmarkUtilities,JuliaOpt,Super Computing,Benchmarks
Criterion,jakebolewski,Super Computing,Benchmarks
DataBench,xiaodaigh,Super Computing,Benchmarks
PerfPlot,weijianzhang,Super Computing,Benchmarks
Perftests,staticfloat,Super Computing,Benchmarks
SortPerf,kmsquire,Super Computing,Benchmarks
SchumakerSpline,s-baumann,Super Computing,Benchmarks
Clang,JuliaInterop,Super Computing,Compilers
CompilerTools,IntelLabs,Super Computing,Compilers
CompilerOptions,sjkelly,Super Computing,Compilers
Eglib,ihnorton,Super Computing,Compilers
JITTools,Keno,Super Computing,Compilers
LLVM,maleadt,Super Computing,Compilers
ParallelAccelerator,IntelLabs,Super Computing,Compilers
SnoopCompile,timholy,Super Computing,Preprocessor
ISPC,damiendr,Super Computing,Computer Performance
IACA,carnaval,Super Computing,Code Analyzer
CPUTime,schmrlng,Super Computing,Time
USERTime,christianpeel,Super Computing,Time
Actors,JuliaActors,Super Computing,Concurrency
RawMutex,vchuravy,Super Computing,Concurrency
AWS,JuliaCloud,Super Computing,Cloud Computing
AWSCore,JuliaCloud,Super Computing,Cloud Computing
AWSS3,JuliaCloud,Super Computing,Cloud Computing
OCAWS,samoconnor,Super Computing,Cloud Computing
CloudArray,gsd-ufal,Super Computing,Cloud Computing
GCloud,spencerlyon2,Super Computing,Cloud Computing
GoogleCloud,JuliaCloud,Super Computing,Cloud Computing
ClusterDicts,amitmurthy,Super Computing,Cluster Computing
HavenOnDemand,richitmx,Super Computing,Cluster Computing
HPAT,IntelLabs,Super Computing,Cluster Computing
MatlabCluster,simonster,Super Computing,Cluster Computing
SGEArrays,davidavdav,Super Computing,Cluster Computing
ChainedVectors,tanmaykm,Super Computing,Distributed Computing
ClusterDicts,amitmurthy,Super Computing,Distributed Computing
Flume,malmaud,Super Computing,Distributed Computing
FunHPC,eschnett,Super Computing,Distributed Computing
HavenOnDemand,richitmx,Super Computing,Distributed Computing
HPAT,IntelLabs,Super Computing,Distributed Computing
ParallelGLM,dmbates,Super Computing,Distributed Computing
PTools,amitmurthy,Super Computing,Distributed Computing
SGEArrays,davidavdav,Super Computing,Distributed Computing
IBFS,eurika-kaiser,Super Computing,Grid Computing
Dtree,kpamnany,Super Computing,HPC
FunHPC,eschnett,Super Computing,HPC
hpcc,jiahao,Super Computing,HPC
CUDAnative,JuliaGPU,Super Computing,HPC
ClusterManagers,JuliaParallel,Super Computing,Job Scheduler
Collectl,ranjanan,Super Computing,Job Scheduler
LCJC,amitmurthy,Super Computing,Job Scheduler
Persist,eschnett,Super Computing,Job Scheduler
Schedulers,ChevronETC,Super Computing,Job Scheduler
SimJulia,BenLauwens,Super Computing,Job Scheduler
Blocks,JuliaParallel,Super Computing,Parallel Computing
ClusterManagers,JuliaParallel,Super Computing,Parallel Computing
Dagger,JuliaParallel,Super Computing,Parallel Computing
Dispatcher,invenia,Super Computing,Parallel Computing
DispatcherCache,zgornel,Super Computing,Parallel Computing
DistributedArrays,JuliaParallel,Super Computing,Parallel Computing
Elly,JuliaParallel,Super Computing,Parallel Computing
Flume,malmaud,Super Computing,Parallel Computing
HDFS,JuliaParallel,Super Computing,Parallel Computing
Heptapus,lcw,Super Computing,Parallel Computing
Hwloc,JuliaParallel,Super Computing,Parallel Computing
MessageUtils,JuliaParallel,Super Computing,Parallel Computing
MPI,JuliaParallel,Super Computing,Parallel Computing
ParallelAccelerator,IntelLabs,Super Computing,Parallel Computing
ParallelGLM,dmbates,Super Computing,Parallel Computing
PTools,amitmurthy,Super Computing,Parallel Computing
ScaLAPACK,JuliaParallel,Super Computing,Parallel Computing
Slurm,JuliaParallel,Super Computing,Parallel Computing
MPIArrays,barche,Super Computing,SIMD Computing
SIMD,eschnett,Super Computing,SIMD Computing
SIMDPirates,chriselrod,Super Computing,SIMD Computing
SIMDVectors,KristofferC,Super Computing,SIMD Computing
Yeppp,JuliaMath,Super Computing,SIMD Computing
MXNet,dmlc,Super Computing,GPGPU
Titan,malmaud,Super Computing,GPGPU
CUBLAS,JuliaGPU,Super Computing,GPGPU
CuCountMap,xiaodaigh,Super Computing,GPGPU
CUDA,JuliaGPU,Super Computing,GPGPU
CUDArt,JuliaGPU,Super Computing,GPGPU
CUDNN,JuliaGPU,Super Computing,GPGPU
HSA,JuliaGPU,Super Computing,GPGPU
OpenCL,JuliaGPU,Super Computing,GPGPU
UberSignals,SimonDanisch,Super Computing,GPGPU
Events,mirek,Utilities,Utils
FilePaths,rofinn,Utilities,Utils
Graze,iamed2,Utilities,Utils
Humanize,IainNZ,Utilities,Utils
Osmosis,SimonDanisch,Utilities,Utils
SO,dlfivefifty,Utilities,Utils
Blosc,JuliaIO,Utilities,File Compression
GZip,JuliaIO,Utilities,File Compression
InfoZIP,samoconnor,Utilities,File Compression
Libz,BioJulia,Utilities,File Compression
Snappy,JuliaIO,Utilities,File Compression
ZipFile,fhs,Utilities,File Compression
Zlib,dcjones,Utilities,File Compression
COMCall,ihnorton,Utilities,Microsoft Windows
IniFile,JuliaIO,Utilities,Microsoft Windows
IUP,joa-quim,Utilities,Microsoft Windows
RawFile,azraq27,Utilities,Microsoft Windows
WAV,dancasimiro,Utilities,Microsoft Windows
Win32GUIDemo,ihnorton,Utilities,Microsoft Windows
WinReg,simonbyrne,Utilities,Microsoft Windows
WinUser,JuliaGL,Utilities,Microsoft Windows
Wine,Keno,Utilities,Microsoft Windows
XCB,JuliaGL,Utilities,Microsoft Windows
AnsiColor,Aerlinger,Utilities,Terminal
ArgParse,carlobaldassi,Utilities,Terminal
CLI,Roger-luo,Utilities,Terminal
DocOpt,docopt,Utilities,Terminal
FTPClient,invenia,Utilities,Terminal
LibArchive,yuyichao,Utilities,Terminal
LineEdit,Keno,Utilities,Terminal
MetaTools,burrowsa,Utilities,Terminal
NCurses,Keno,Utilities,Terminal
ProgressMeter,timholy,Utilities,Terminal
REPL,Keno,Utilities,Terminal
REPLCompletions,Keno,Utilities,Terminal
REPLMods,spencerlyon2,Utilities,Terminal
SaveREPL,sjkelly,Utilities,Terminal
TerminalExtensions,Keno,Utilities,Terminal
toolbox,natj,Utilities,Terminal
TermWin,tonyhffong,Utilities,Terminal
Termbox,jgoldfar,Utilities,Terminal
TerminalMenus,nick-paul,Utilities,Terminal
TerminalUI,Keno,Utilities,Terminal
VT100,Keno,Utilities,Terminal
DandelionSlack,dandeliondeathray,Utilities,IRC
Slackbot,jiahao,Utilities,IRC
Twilert,glesica,Utilities,SMS
Discord,christopher-dG,Utilities,VOIP
Toxcore,SimonDanisch,Utilities,VOIP
ICU,nolta,i18n-L10n,Unicode
UnicodeExtras,nolta,i18n-L10n,Unicode
LegacyStrings,JuliaStrings,i18n-L10n,Unicode
